bioguide_id,chamber,job_type,congress_number,congress_start_date,congress_end_date,region_type,region_code,party_name,job_start_date,job_end_date,party_start_date,party_end_date
F000283,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,GA,Democrat,,,,
F000319,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NC,Democrat,,,,
F000353,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TN,Democrat,,,,
F000356,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,DE,Democrat,,1961-01-03,,
F000371,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Republican,,,,
F000384,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MD,Democrat,,,,
F000401,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AR,Democrat,,,,
F000422,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Republican,,,,
G000016,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Democrat,,,,
G000071,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MD,Democrat,,,,
G000091,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,VA,Democrat,,,,
G000098,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,AR,Democrat,1959-01-03,,,
G000102,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Republican,,,,
G000130,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,KS,Democrat,,,,
G000151,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CT,Democrat,,,,
G000175,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Democrat,,,,
G000237,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Republican,,,,
G000267,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AZ,Republican,,,,
G000282,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Republican,,,,
G000320,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TN,Democrat,,,,
G000368,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Democrat,,,,
G000381,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,AL,Democrat,1959-01-03,,,
G000400,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IL,Democrat,,,,
G000407,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OR,Democrat,,,,
G000418,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,RI,Democrat,,1961-01-03,,
G000421,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Democrat,,,,
G000465,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MI,Republican,,,,
G000471,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MI,Democrat,,,,
G000495,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IA,Republican,,,,
G000508,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AK,Democrat,1959-01-03,,,
G000512,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Republican,,,,
H000013,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Democrat,,,,
H000041,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,FL,Democrat,,,,
H000048,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NC,Democrat,,,,
H000081,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,IN,Republican,1959-01-03,,,
H000081,Minority Leader,CongressLeadershipJob,86,1959-01-03,1961-01-03,,,Republican,1959-01-03,1961-01-03,,
H000085,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Republican,,,,
