bioguide_id,chamber,congress_number,region_type,region_code,party,start_date,end_date
W000791,Representative,114,State,OR,Republican,2015-01-03,2017-01-02
W000795,Representative,114,State,SC,Republican,2015-01-03,2017-01-02
W000796,Representative,114,State,GA,Republican,2015-01-03,2017-01-02
W000797,Representative,114,State,FL,Democrat,2015-01-03,2017-01-02
W000798,Representative,114,State,MI,Republican,2015-01-03,2017-01-02
W000799,Representative,114,State,MN,Democrat,2015-01-03,2017-01-02
W000800,Representative,114,State,VT,Democrat,2015-01-03,2017-01-02
W000802,Senator,114,State,RI,Democrat,2015-01-03,2017-01-02
W000804,Representative,114,State,VA,Republican,2015-01-03,2017-01-02
W000805,Senator,114,State,VA,Democrat,2015-01-03,2017-01-02
W000806,Representative,114,State,FL,Republican,2015-01-03,2017-01-02
W000808,Representative,114,State,FL,Democrat,2015-01-03,2017-01-02
W000809,Representative,114,State,AR,Republican,2015-01-03,2017-01-02
W000810,Representative,114,State,GA,Republican,2015-01-03,2017-01-02
W000812,Representative,114,State,MO,Republican,2015-01-03,2017-01-02
W000813,Representative,114,State,IN,Republican,2015-01-03,2017-01-02
W000814,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
W000815,Representative,114,State,OH,Republican,2015-01-03,2017-01-02
W000816,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
W000817,Senator,114,State,MA,Democrat,2015-01-03,2017-01-02
W000819,Representative,114,State,NC,Republican,2015-01-03,2017-01-02
W000820,Representative,114,State,CA,Republican,2015-01-03,2017-01-02
W000821,Representative,114,State,AR,Republican,2015-01-03,2017-01-02
W000822,Representative,114,State,NJ,Democrat,2015-01-03,2017-01-02
Y000033,Representative,114,State,AK,Republican,2015-01-03,2017-01-02
Y000062,Representative,114,State,KY,Democrat,2015-01-03,2017-01-02
Y000063,Representative,114,State,KS,Republican,2015-01-03,2017-01-02
Y000064,Representative,114,State,IN,Republican,2015-01-03,2017-01-02
Y000065,Representative,114,State,FL,Republican,2015-01-03,2017-01-02
Y000066,Representative,114,State,IA,Republican,2015-01-03,2017-01-02
Z000017,Representative,114,State,NY,Republican,2015-01-03,2017-01-02
Z000018,Representative,114,State,MT,Republican,2015-01-03,2017-01-02
A000055,Representative,115,State,AL,Republican,2017-01-03,2019-01-02
A000360,Senator,115,State,TN,Republican,2017-01-03,2019-01-02
A000367,Representative,115,State,MI,Republican,2017-01-03,2019-01-02
A000369,Representative,115,State,NV,Republican,2017-01-03,2019-01-02
A000370,Representative,115,State,NC,Democrat,2017-01-03,2019-01-02
A000371,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
A000372,Representative,115,State,GA,Republican,2017-01-03,2019-01-02
A000374,Representative,115,State,LA,Republican,2017-01-03,2019-01-02
A000375,Representative,115,State,TX,Republican,2017-01-03,2019-01-02
B000213,Representative,115,State,TX,Republican,2017-01-03,2019-01-02
B000287,Representative,115,State,CA,Democrat,2017-01-03,2017-01-24
B000490,Representative,115,State,GA,Democrat,2017-01-03,2019-01-02
B000574,Representative,115,State,OR,Democrat,2017-01-03,2019-01-02
B000575,Senator,115,State,MO,Republican,2017-01-03,2019-01-02
B000755,Representative,115,State,TX,Republican,2017-01-03,2019-01-02
B000944,Senator,115,State,OH,Democrat,2017-01-03,2019-01-02
B001135,Senator,115,State,NC,Republican,2017-01-03,2019-01-02
B001227,Representative,115,State,PA,Democrat,2017-01-03,2019-01-02
B001230,Senator,115,State,WI,Democrat,2017-01-03,2019-01-02
B001236,Senator,115,State,AR,Republican,2017-01-03,2019-01-02
B001243,Representative,115,State,TN,Republican,2017-01-03,2019-01-02
B001245,Delegate,115,Territory,GU,Democrat,2017-01-03,2019-01-02
B001248,Representative,115,State,TX,Republican,2017-01-03,2019-01-02
B001250,Representative,115,State,UT,Republican,2017-01-03,2019-01-02
B001251,Representative,115,State,NC,Democrat,2003-01-03,2019-01-02
B001257,Representative,115,State,FL,Republican,2017-01-03,2019-01-02
B001260,Representative,115,State,FL,Republican,2017-01-03,2019-01-02
B001261,Senator,115,State,WY,Republican,2017-01-03,2019-01-02
B001267,Senator,115,State,CO,Democrat,2017-01-03,2019-01-02
B001269,Representative,115,State,PA,Republican,2017-01-03,2019-01-02
B001270,Representative,115,State,CA,Democrat,2011-01-03,2019-01-02
B001273,Representative,115,State,TN,Republican,2017-01-03,2019-01-02
B001274,Representative,115,State,AL,Republican,2017-01-03,2019-01-02
B001275,Representative,115,State,IN,Republican,2017-01-03,2019-01-02
B001277,Senator,115,State,CT,Democrat,2017-01-03,2019-01-02
B001278,Representative,115,State,OR,Democrat,2017-01-03,2019-01-02
B001281,Representative,115,State,OH,Democrat,2017-01-03,2019-01-02
B001282,Representative,115,State,KY,Republican,2017-01-03,2019-01-02
B001283,Representative,115,State,OK,Republican,2017-01-03,2018-04-23
B001284,Representative,115,State,IN,Republican,2017-01-03,2019-01-02
B001285,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
B001286,Representative,115,State,IL,Democrat,2017-01-03,2019-01-02
B001287,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
B001288,Senator,115,State,NJ,Democrat,2017-01-03,2019-01-02
B001289,Representative,115,State,AL,Republican,2017-01-03,2019-01-02
B001290,Representative,115,State,VA,Republican,2017-01-03,2019-01-02
B001291,Representative,115,State,TX,Republican,2017-01-03,2019-01-02
B001292,Representative,115,State,VA,Democrat,2017-01-03,2019-01-02
B001293,Representative,115,State,MI,Republican,2017-01-03,2019-01-02
B001294,Representative,115,State,IA,Republican,2017-01-03,2019-01-02
B001295,Representative,115,State,IL,Republican,2017-01-03,2019-01-02
B001296,Representative,115,State,PA,Democrat,2017-01-03,2019-01-02
B001297,Representative,115,State,CO,Republican,2017-01-03,2019-01-02
B001298,Representative,115,State,NE,Republican,2017-01-03,2019-01-02
B001299,Representative,115,State,IN,Republican,2017-01-03,2019-01-02
B001300,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
B001301,Representative,115,State,MI,Republican,2017-01-03,2019-01-02
B001302,Representative,115,State,AZ,Republican,2017-01-03,2019-01-02
B001303,Representative,115,State,DE,Democrat,2017-01-03,2019-01-02
B001304,Representative,115,State,MD,Democrat,2017-01-03,2019-01-02
B001305,Representative,115,State,NC,Republican,2017-01-03,2019-01-02
B001306,Representative,115,State,OH,Republican,2018-08-07,2019-01-02
C000059,Representative,115,State,CA,Republican,2017-01-03,2019-01-02
C000127,Senator,115,State,WA,Democrat,2017-01-03,2019-01-02
C000141,Senator,115,State,MD,Democrat,2017-01-03,2019-01-02
C000174,Senator,115,State,DE,Democrat,2017-01-03,2019-01-02
C000266,Representative,115,State,OH,Republican,2017-01-03,2019-01-02
C000537,Representative,115,State,SC,Democrat,2017-01-03,2019-01-02
C000567,Senator,115,State,MS,Republican,2017-01-03,2018-04-01
C000714,Representative,115,State,MI,Democrat,2017-01-03,2017-12-05
C000754,Representative,115,State,TN,Democrat,2017-01-03,2019-01-02
C000880,Senator,115,State,ID,Republican,2017-01-03,2019-01-02
C000984,Representative,115,State,MD,Democrat,2017-01-03,2019-01-02
C001035,Senator,115,State,ME,Republican,2017-01-03,2019-01-02
C001037,Representative,115,State,MA,Democrat,2017-01-03,2019-01-02
C001038,Representative,115,State,NY,Democrat,2017-01-03,2019-01-02
C001047,Senator,115,State,WV,Republican,2017-01-03,2019-01-02
C001048,Representative,115,State,TX,Republican,2017-01-03,2019-01-02
C001049,Representative,115,State,MO,Democrat,2017-01-03,2019-01-02
C001051,Representative,115,State,TX,Republican,2017-01-03,2019-01-02
C001053,Representative,115,State,OK,Republican,2017-01-03,2019-01-02
C001056,Senator,115,State,TX,Republican,2017-01-03,2019-01-02
C001059,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
C001061,Representative,115,State,MO,Democrat,2017-01-03,2019-01-02
C001062,Representative,115,State,TX,Republican,2017-01-03,2019-01-02
C001063,Representative,115,State,TX,Democrat,2017-01-03,2019-01-02
C001066,Representative,115,State,FL,Democrat,2017-01-03,2019-01-02
C001067,Representative,115,State,NY,Democrat,2017-01-03,2019-01-02
C001068,Representative,115,State,TN,Democrat,2017-01-03,2019-01-02
C001069,Representative,115,State,CT,Democrat,2017-01-03,2019-01-02
C001070,Senator,115,State,PA,Democrat,2017-01-03,2019-01-02
C001071,Senator,115,State,TN,Republican,2017-01-03,2019-01-02
C001072,Representative,115,State,IN,Democrat,2017-01-03,2019-01-02
C001075,Senator,115,State,LA,Republican,2017-01-03,2019-01-02
C001076,Representative,115,State,UT,Republican,2017-01-03,2017-06-30
C001077,Representative,115,State,CO,Republican,2017-01-03,2019-01-02
C001078,Representative,115,State,VA,Democrat,2017-01-03,2019-01-02
C001080,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
C001084,Representative,115,State,RI,Democrat,2017-01-03,2019-01-02
C001087,Representative,115,State,AR,Republican,2017-01-03,2019-01-02
C001088,Senator,115,State,DE,Democrat,2017-01-03,2019-01-02
C001090,Representative,115,State,PA,Democrat,2017-01-03,2019-01-02
C001091,Representative,115,State,TX,Democrat,2017-01-03,2019-01-02
C001092,Representative,115,State,NY,Republican,2017-01-03,2019-01-02
C001093,Representative,115,State,GA,Republican,2017-01-03,2019-01-02
C001094,Representative,115,State,CA,Republican,2017-01-03,2019-01-02
C001095,Senator,115,State,AR,Republican,2017-01-03,2019-01-02
C001096,Representative,115,State,ND,Republican,2017-01-03,2019-01-02
C001097,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
C001098,Senator,115,State,TX,Republican,2017-01-03,2019-01-02
C001101,Representative,115,State,MA,Democrat,2017-01-03,2019-01-02
C001103,Representative,115,State,GA,Republican,2017-01-03,2019-01-02
C001105,Representative,115,State,VA,Republican,2017-01-03,2019-01-02
C001106,Representative,115,State,PA,Republican,2017-01-03,2019-01-02
C001107,Representative,115,State,FL,Republican,2017-01-03,2019-01-02
C001108,Representative,115,State,KY,Republican,2017-01-03,2019-01-02
C001109,Representative,115,State,WY,Republican,2017-01-03,2019-01-02
C001110,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
C001111,Representative,115,State,FL,Democrat,2017-01-03,2019-01-02
C001112,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
C001113,Senator,115,State,NV,Democrat,2017-01-03,2019-01-02
C001114,Representative,115,State,UT,Republican,2017-11-07,2019-01-02
C001115,Representative,115,State,TX,Republican,2018-06-30,2019-01-02
D000096,Representative,115,State,IL,Democrat,2017-01-03,2019-01-02
D000191,Representative,115,State,OR,Democrat,2017-01-03,2019-01-02
D000197,Representative,115,State,CO,Democrat,2017-01-03,2019-01-02
D000216,Representative,115,State,CT,Democrat,2017-01-03,2019-01-02
D000399,Representative,115,State,TX,Democrat,2017-01-03,2019-01-02
D000482,Representative,115,State,PA,Democrat,1995-01-03,2019-01-02
D000533,Representative,115,State,TN,Republican,2017-01-03,2019-01-02
D000563,Senator,115,State,IL,Democrat,2017-01-03,2019-01-02
D000598,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
D000600,Representative,115,State,FL,Republican,2017-01-03,2019-01-02
D000604,Representative,115,State,PA,Republican,2017-01-03,2018-05-12
D000607,Senator,115,State,IN,Democrat,2017-01-03,2019-01-02
D000610,Representative,115,State,FL,Democrat,2017-01-03,2019-01-02
D000612,Representative,115,State,CA,Republican,2017-01-03,2019-01-02
D000614,Representative,115,State,WI,Republican,2017-01-03,2019-01-02
D000615,Representative,115,State,SC,Republican,2017-01-03,2019-01-02
D000616,Representative,115,State,TN,Republican,2017-01-03,2019-01-02
D000617,Representative,115,State,WA,Democrat,2017-01-03,2019-01-02
D000618,Senator,115,State,MT,Republican,2017-01-03,2019-01-02
D000619,Representative,115,State,IL,Republican,2017-01-03,2019-01-02
D000620,Representative,115,State,MD,Democrat,2017-01-03,2019-01-02
D000621,Representative,115,State,FL,Republican,2017-01-03,2018-09-10
D000622,Senator,115,State,IL,Democrat,2017-01-03,2019-01-02
D000623,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
D000624,Representative,115,State,MI,Democrat,2017-01-03,2019-01-02
D000625,Representative,115,State,NY,Republican,2017-01-03,2019-01-02
D000626,Representative,115,State,OH,Republican,2017-01-03,2019-01-02
D000627,Representative,115,State,FL,Democrat,2017-01-03,2019-01-02
D000628,Representative,115,State,FL,Republican,2017-01-03,2019-01-02
E000179,Representative,115,State,NY,Democrat,2017-01-03,2019-01-02
E000215,Representative,115,State,CA,Democrat,2017-01-03,2019-01-02
E000285,Senator,115,State,WY,Republican,2017-01-03,2019-01-02
E000288,Representative,115,State,MN,Democrat,2017-01-03,2019-01-02
E000293,Representative,115,State,CT,Democrat,2017-01-03,2019-01-02
E000294,Representative,115,State,MN,Republican,2017-01-03,2019-01-02
E000295,Senator,115,State,IA,Republican,2017-01-03,2019-01-02
E000296,Representative,115,State,PA,Democrat,2017-01-03,2019-01-02
E000297,Representative,115,State,NY,Democrat,2017-01-03,2019-01-02
E000298,Representative,115,State,KS,Republican,2017-04-11,2019-01-02
F000062,Senator,115,State,CA,Democrat,2017-01-03,2019-01-02
F000372,Representative,115,State,NJ,Republican,2017-01-03,2019-01-02
F000444,Senator,115,State,AZ,Republican,2017-01-03,2019-01-02
F000448,Representative,115,State,AZ,Republican,2017-01-03,2017-12-08
F000449,Representative,115,State,NE,Republican,2017-01-03,2019-01-02
F000450,Representative,115,State,NC,Republican,2017-01-03,2019-01-02
F000454,Representative,115,State,IL,Democrat,2017-01-03,2019-01-02
F000455,Representative,115,State,OH,Democrat,2017-01-03,2019-01-02
